2.
4.
8.
16.
32.
64.
128.
256.
512.
1024.
2048.
4096.
8192.
16K 16384.
32K 32768
65K 65536
131K 131072
262K 262144
524K 524288
1M 1048576
2M 2097152
4M 4194304
8M 8388608
16M 16777216
33M 33554432
67M 67108864
134M 134217728
268M 268435456
536M 536870912
1T 1073741824
2T 2147483648
4T 4294967296
8T 8589934592
17T 17179869184
34T 34359738368
68T 68719476736
137T 137438953472
274T 274877906944
549T 549755813888
1Qd 1099511627776
2Qd 2199023255552
4Qd 4398046511104
8Qd 8796093022208
17Qd 17592186044416
35Qd 35184372088832
70Qd 70368744177664
140Qd 140737488355328
281Qd 281474976710656
562Qd 562949953421312
1Qt 1125899906842624

enter: 开始游戏
space: 暂停、开始、继续游戏
←↑↓→：操控
C: 退出
S: 保存
R: 读取
